rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared
950,azure-mgmt-containerinstance,11810100,clone_failed,0,,0,0
951,geoip2,11798266,success,1,typing_extensions,3,3
952,yapf,11792365,clone_failed,0,,0,0
953,twilio,11739220,success,2,"auth_type,jwt",4,4
954,lightgbm,11724476,success,11,"dask,graphviz,joblib,matplotlib,numpy,pandas,psutil,pyarrow,scipy,sklearn,typing_extensions",11,0
955,types-toml,11676029,clone_failed,0,,0,0
956,checkov,11675471,success,9,"boolean,botocore,cyclonedx,detect_secrets,hcl2,lark,mypy_boto3_s3,packageurl,pycep",39,47
957,gradio,11655123,success,51,"aiofiles,altair,anyio,authlib,bokeh,boto3,botocore,brotli,chunking,diffusers,discord,fastapi,ffmpy,fsspec,gradio_client,groovy,huggingface_hub,ipython,jinja2,libsql_client,markdown,markupsafe,matplotlib,mcp,multipart,numpy,openai,orjson,packaging,pandas,pil,polars,pydantic,pydantic_core,pydub,pytz,requests,rich,safehttpx,semantic_version,spaces,src,starlette,tomlkit,tqdm,transformers,transformers_js_py,typer,typing_extensions,uvicorn,voyageai",51,0
958,py-spy,11642755,success,0,,0,1
959,ipdb,11514932,success,2,"configparser,ipython",5,4
960,strenum,11507630,success,3,"configparser,cx_freeze,py2exe",3,6
961,temporalio,11506906,success,5,"google,grpc,nexusrpc,pydantic_core,temporal",8,11
962,azure-storage-file-share,11500640,clone_failed,0,,0,0
963,pinotdb,11494587,success,3,"ciso8601,requests,sqlalchemy",3,0
964,configparser,11472449,success,0,,0,13
965,sphinx-rtd-theme,11431244,success,1,sphinxcontrib,1,5
966,mypy-boto3-rds,11415123,success,6,"aioboto3,aiobotocore,mypy_boto3_builder,mypy_boto3_s3,types_aiobotocore_s3,types_boto3_s3",15,14
967,langgraph-prebuilt,11408933,clone_failed,0,,0,0
968,curl-cffi,11388738,success,4,"eventlet,gevent,orjson,readability",7,24
969,incremental,11385725,clone_failed,0,,0,0
970,boltons,11379968,success,5,"clastic,dictutils,lithoxyl,urllib2,werkzeug",5,0
971,connexion,11359678,success,14,"a2wsgi,asgiref,flask,inflection,jinja2,jsf,jsonschema,multipart,requests,starlette,swagger_ui_bundle,typing_extensions,uvicorn,werkzeug",14,0
972,ftfy,11353044,clone_failed,0,,0,0
973,optree,11337671,success,0,,4,24
