rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared,repo_url
452,astroid,37498408,success,1,gi,7,21,https://github.com/pylint-dev/astroid
453,h5py,37414458,success,8,"cython,ipython,mpi4py,numpy,packaging,pkgconfig,requests,setuptools",12,0,https://github.com/h5py/h5py
454,imageio,37192530,success,12,"backports,bsdf-cli,imagecodecs,invoke,lxml,matplotlib,opencv-python,osgeo,tifffile-geodb,tkfiledialog,tkinter,zstd",26,19,https://github.com/imageio/imageio
455,jupyterlab-server,37139097,success,4,"jupyter-core,ruamel,tornado,traitlets",15,29,https://github.com/jupyterlab/jupyterlab_server
456,google-cloud-memcache,37033199,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
457,numba,37008895,no_repo,0,,0,0,
458,webcolors,36928222,success,1,nox,1,0,https://github.com/ubernostrum/webcolors
459,azure-keyvault-secrets,36849490,clone_failed,0,,0,0,https://github.com/Azure/azure-sdk-for-python
460,trio,36718196,success,19,"-cffi-backend,-pytest,-typeshed,astor,async-generator,black,cryptography,hypothesis,isort,jedi,mypy,pylint,pyopenssl,pyright,pytest,pyyaml,ruff,trustme,typing-extensions",27,7,https://github.com/python-trio/trio
461,litellm,36702241,success,55,"aiodynamo,anyio,autoevals,aws-sdk-bedrock-runtime,backend,botocore,certifi,dotenv,flask,flask-cors,gateway,google,hypercorn,line-profiler,logfire,memory-profiler,nacl,objgraph,opensearchpy,packaging,petals,pillow,pkg-resources,proto,psutil,psycopg,pyaudio,pydantic-core,pypdf2,pyroscope,pytest,python-dateutil,redis,requests,requests-aws4auth,riva,scipy,slack-bolt,smithy-aws-core,soxr,sse-starlette,starlette,tabulate,tenacity,termcolor,testing,tqdm,transformers,typing-extensions,ulid,util,vertexai,vllm,waitress,yarl",118,75,https://github.com/BerriAI/litellm
