seed,usingPackage,usingVersion,phantomName,phantomVersion
@lerna/version,@lerna/version,6.6.2,yargs,18.0.0
@lerna/version,@lerna/version,6.6.2,is-ci,4.1.0
@lerna/version,@lerna/version,6.6.2,tmp,0.2.5
@lerna/version,@lerna/version,6.6.2,semver,7.7.3
@lerna/version,@lerna/version,6.6.2,execa,9.6.0
@lerna/version,@lerna/version,6.6.2,pretty-format,30.2.0
@lerna/version,@lerna/version,6.6.2,tinyglobby,0.2.15
@lerna/version,@lerna/version,6.6.2,load-json-file,7.0.1
@lerna/version,@lerna/version,6.6.2,cmd-shim,8.0.0
@lerna/version,@lerna/version,6.6.2,multimatch,7.0.0
@lerna/version,@lerna/version,6.6.2,columnify,1.6.0
@lerna/version,@lerna/version,6.6.2,read-cmd-shim,6.0.0
@lerna/version,@lerna/version,6.6.2,p-queue,9.0.1
@lerna/version,@lerna/version,6.6.2,p-map,7.0.4
@lerna/version,@lerna/version,6.6.2,p-map-series,3.0.0
@lerna/version,@lerna/version,6.6.2,write-file-atomic,7.0.0
@lerna/version,@lerna/version,6.6.2,npm-package-arg,13.0.2
@lerna/version,@lerna/version,6.6.2,dedent,1.7.0
@lerna/version,@lerna/version,6.6.2,minimatch,10.1.1
@lerna/version,@lerna/version,6.6.2,slash,5.1.0
@lerna/version,@lerna/version,6.6.2,ssri,13.0.0
@lerna/version,@lerna/version,6.6.2,tar,7.5.2
@lerna/version,@lerna/version,6.6.2,byte-size,9.0.1
@lerna/version,@lerna/version,6.6.2,has-unicode,2.0.1
@lerna/version,@lerna/version,6.6.2,npm-registry-fetch,19.1.1
@lerna/version,@lerna/version,6.6.2,write-pkg,7.0.0
@lerna/version,@lerna/version,6.6.2,libnpmpublish,11.1.3
@lerna/version,@lerna/version,6.6.2,@npmcli/package-json,7.0.4
@lerna/version,@lerna/version,6.6.2,ci-info,4.3.1
@lerna/version,@lerna/version,6.6.2,libnpmaccess,10.0.3
@lerna/version,@lerna/version,6.6.2,make-fetch-happen,15.0.3
@lerna/version,@lerna/version,6.6.2,@npmcli/arborist,9.1.7
@lerna/version,@lerna/version,6.6.2,npm-packlist,10.0.3
@lerna/version,@lerna/version,6.6.2,upath,2.0.1
@lerna/version,@lerna/version,6.6.2,inquirer,13.0.1
@lerna/version,@lerna/version,6.6.2,rimraf,6.1.2
@lerna/version,@lerna/version,6.6.2,@npmcli/run-script,10.0.3
@lerna/version,@lerna/version,6.6.2,is-stream,4.0.1
@lerna/version,@lerna/version,6.6.2,make-dir,5.1.0
@lerna/version,@lerna/version,6.6.2,temp-dir,3.0.0
@lerna/version,@lerna/version,6.6.2,uuid,13.0.0
@lerna/version,@lerna/version,6.6.2,@octokit/rest,22.0.1
@lerna/version,@lerna/version,6.6.2,git-url-parse,16.1.0
@lerna/version,@lerna/version,6.6.2,resolve-from,5.0.0
@lerna/version,@lerna/version,6.6.2,cosmiconfig,9.0.0
@lerna/version,@lerna/version,6.6.2,glob-parent,6.0.2
@lerna/version,@lerna/version,6.6.2,set-blocking,2.0.0
@lerna/version,@lerna/version,6.6.2,console-control-strings,1.1.0
@lerna/version,@lerna/version,6.6.2,color-support,1.1.3
@lerna/version,@lerna/version,6.6.2,aproba,2.1.0
@lerna/version,@lerna/version,6.6.2,wide-align,1.1.5
@lerna/version,@lerna/version,6.6.2,ini,6.0.0
@lerna/version,@lerna/version,6.6.2,pify,6.1.0
@lerna/version,@lerna/version,6.6.2,conventional-recommended-bump,11.2.0
@lerna/version,@lerna/version,6.6.2,conventional-changelog-core,9.0.0
@lerna/version,@lerna/version,6.6.2,get-stream,9.0.1
@lerna/version,@lerna/version,6.6.2,p-pipe,4.0.0
@lerna/version,@lerna/version,6.6.2,p-reduce,3.0.0
@lerna/version,@lerna/version,6.6.2,p-waterfall,3.0.0
