packageName,rank,downloads,phantomCount,vulnerablePhantomCount,phantomDeps
types-urllib3,733,18587344,1,1,urllib3
inflect,734,18540373,0,0,
cached-property,735,18495687,0,0,
sqlalchemy-utils,737,18433582,0,0,
argparse,738,18408759,1,0,sets
textual,739,18352005,4,1,httpx;markdown-it;textual-dev;textual-speedups
texttable,740,18305539,2,0,cjkwrap;wcwidth
emoji,741,18184600,1,0,htmlmin
accelerate,742,18176375,45,8,aim;bitsandbytes;boto3;clearml;comet-ml;datasets;dvclive;evaluate;github;habana-frameworks;huggingface-hub;intel-transformer-engine;lomo-optim;manim;matplotlib;megatron;mlflow;msamp;numpy;packaging;peft;pretrain-bert;pretrain-gpt;pretrain-t5;psutil;pynvml;pyyaml;safetensors;slack-sdk;smdistributed;swanlab;tabulate;tensorboardx;timm;torch;torch-mlu;torch-musa;torch-neuronx;torch-npu;torch-sdaa;torchao;torchdata;trackio;transformers;wandb
apache-airflow-providers-databricks,743,18101482,67,7,airflow-client;airflow-shared;anyio;arango;attr;bson;certifi;colorama;daemon;datamodel-code-generator;docx;dotenv;elastic-transport;fastapi-cli;flask-babel;flask-jwt-extended;gcloud;github3;googleapiclient;gremlin-python;httpcore;influxdb-client-3;jpype;jupyter-client;pyjwt;kiota-abstractions;kiota-authentication-azure;kiota-http;kiota-serialization-json;kiota-serialization-text;kombu;langchain-community;langchain-core;langchain-text-splitters;ldap;llama-index;markupsafe;msal;msrest;msrestazure;mypy-boto3-appflow;mypy-boto3-rds;mypy-boto3-redshift-data;mypy-boto3-s3;mypy-boto3-verifiedpermissions;mysqldb;odps;onelogin;openapi-spec-validator;opensearchpy;performance-dags;prestodb;proto;psycopg2;pydantic-core;pymysql;pytz;requests-gssapi;slugify;smbclient;thrift;traitlets;unit;upath;vertex-ray;vertexai;watchfiles
opentelemetry-distro,744,18051063,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
tomli-w,746,18026455,0,0,
spacy,747,18010261,18,1,click;copy-reg;cpickle;cupy;gensim;ipython;jieba;natto;plac;pymorphy2;pymorphy3;pythainlp;pyvi;slack-sdk;spacy-pkuseg;spacy-transformers;sudachipy;typing-extensions
universal-pathlib,748,17983864,3,0,pydantic-core;smbprotocol;tomli
pytest-runner,750,17905843,0,0,
id,751,17902078,0,0,
